Date,Price,Open,High,Low,Change %,GDP,Inflation,FDI,Trade Balance,Unemployment Rate,Exchange Rate,Economic Growth
12/29/2022,2195.3,2195.3,2195.3,2195.3,0.0005,7.1,7.7,1.56,26.63,4.7,102.5,7.1
12/28/2022,2194.2,2194.2,2194.2,2194.2,0.0013,7.1,7.7,1.56,26.63,4.7,102.6,7.1
12/27/2022,2191.45,2191.45,2191.45,2191.45,0.0002,7.1,7.7,1.56,26.63,4.7,105.4,7.1
12/26/2022,2191.01,2191.01,2191.01,2191.01,-0.0016,7.1,7.7,1.56,26.63,4.7,102.7,7.1
12/22/2022,2194.51,2194.51,2194.51,2194.51,0.0007,7.1,7.7,1.56,26.63,4.7,103.95,7.1
12/21/2022,2193.03,2193.03,2193.03,2193.03,-0.0029,7.1,7.7,1.56,26.63,4.7,105.2,7.1
12/20/2022,2199.47,2199.47,2199.47,2199.47,-0.001,7.1,7.7,1.56,26.63,4.7,105.2,7.1
12/19/2022,2201.78,2201.78,2201.78,2201.78,-0.003,7.1,7.7,1.56,26.63,4.7,105.4,7.1
12/15/2022,2208.48,2208.48,2208.48,2208.48,-0.0002,7.1,7.7,1.56,26.63,4.7,102.5,7.1
12/14/2022,2208.96,2208.96,2208.96,2208.96,-0.0016,7.1,7.7,1.56,26.63,4.7,105.7,7.1
12/13/2022,2212.59,2212.59,2212.59,2212.59,-0.0004,7.1,7.7,1.56,26.63,4.7,104.1,7.1
12/12/2022,2213.45,2213.45,2213.45,2213.45,0.0045,7.1,7.7,1.56,26.63,4.7,104.2,7.1
12/8/2022,2203.58,2203.58,2203.58,2203.58,-0.0017,7.1,7.7,1.56,26.63,4.7,103.1,7.1
12/7/2022,2207.24,2207.24,2207.24,2207.24,0.0008,7.1,7.7,1.56,26.63,4.7,103.7,7.1
12/6/2022,2205.58,2205.58,2205.58,2205.58,0.0032,7.1,7.7,1.56,26.63,4.7,103.6,7.1
12/5/2022,2198.57,2198.57,2198.57,2198.57,-0.0079,7.1,7.7,1.56,26.63,4.7,102.7,7.1
12/1/2022,2216.13,2216.13,2216.13,2216.13,0.0008,7.1,7.7,1.56,26.63,4.7,103.35,7.1
11/30/2022,2214.33,2214.33,2214.33,2214.33,0.0062,7.1,7.7,1.56,26.63,4.7,103.1,7.1
11/29/2022,2200.68,2200.68,2200.68,2200.68,0.0041,7.1,7.7,1.56,26.63,4.7,102.9,7.1
11/28/2022,2191.59,2191.59,2191.59,2191.59,0.0009,7.1,7.7,1.56,26.63,4.7,102.2,7.1
11/24/2022,2189.67,2189.67,2189.67,2189.67,0.003,7.1,7.7,1.56,26.63,4.7,102.3,7.1
11/23/2022,2183.19,2183.19,2183.19,2183.19,-0.0032,7.1,7.7,1.56,26.63,4.7,101.5,7.1
11/22/2022,2190.21,2190.21,2190.21,2190.21,0.0059,7.1,7.7,1.56,26.63,4.7,101.4,7.1
11/21/2022,2177.41,2177.41,2177.41,2177.41,-0.0102,7.1,7.7,1.56,26.63,4.7,105,7.1
11/17/2022,2199.91,2199.91,2199.91,2199.91,0.0038,7.1,7.7,1.56,26.63,4.7,101.7,7.1
11/16/2022,2191.66,2191.66,2191.66,2191.66,0.0039,7.1,7.7,1.56,26.63,4.7,101.8,7.1
11/15/2022,2183.04,2183.04,2183.04,2183.04,-0.0071,7.1,7.7,1.56,26.63,4.7,101.6,7.1
11/14/2022,2198.58,2198.58,2198.58,2198.58,-0.0167,7.1,7.7,1.56,26.63,4.7,102.2,7.1
11/10/2022,2235.97,2235.97,2235.97,2235.97,0.0021,7.1,7.7,1.56,26.63,4.7,102.8,7.1
11/9/2022,2231.25,2231.25,2231.25,2231.25,-0.0051,7.1,7.7,1.56,26.63,4.7,102.6,7.1
11/8/2022,2242.72,2242.72,2242.72,2242.72,-0.0014,7.1,7.7,1.56,26.63,4.7,102.7,7.1
11/7/2022,2245.96,2245.96,2245.96,2245.96,-0.0031,7.1,7.7,1.56,26.63,4.7,102.6,7.1
11/3/2022,2252.99,2252.99,2252.99,2252.99,0.0039,7.1,7.7,1.56,26.63,4.7,102.4,7.1
11/2/2022,2244.15,2244.15,2244.15,2244.15,0.0037,7.1,7.7,1.56,26.63,4.7,102.1,7.1
11/1/2022,2235.77,2235.77,2235.77,2235.77,0.0041,7.1,7.7,1.56,26.63,4.7,101.7,7.1
10/31/2022,2226.71,2226.71,2226.71,2226.71,-0.0173,7.1,7.7,1.56,26.63,4.7,101.8,7.1
10/27/2022,2265.81,2265.81,2265.81,2265.81,0.0074,7.1,7.7,1.56,26.63,4.7,104.8,7.1
10/26/2022,2249.16,2249.16,2249.16,2249.16,0.0024,7.1,7.7,1.56,26.63,4.7,101.33,7.1
10/25/2022,2243.73,2243.73,2243.73,2243.73,0.0005,7.1,7.7,1.56,26.63,4.7,101.7,7.1
10/24/2022,2242.68,2242.68,2242.68,2242.68,-0.0154,7.1,7.7,1.56,26.63,4.7,102.65,7.1
10/20/2022,2277.65,2277.65,2277.65,2277.65,0.0029,7.1,7.7,1.56,26.63,4.7,102.7,7.1
10/19/2022,2271.01,2271.01,2271.01,2271.01,-0.0028,7.1,7.7,1.56,26.63,4.7,101.7,7.1
10/18/2022,2277.44,2277.44,2277.44,2277.44,0,7.1,7.7,1.56,26.63,4.7,100.8,7.1
10/17/2022,2277.34,2277.34,2277.34,2277.34,-0.0133,7.1,7.7,1.56,26.63,4.7,100.8,7.1
